[02:04:45.366] "<02:04:45.355><11951.984546> \nGenotype received from s3 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s3\"}",
[02:07:05.078] "<02:07:05.078><15306.440000000002> %%% p-proxy s11 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s11\"}",
[02:07:05.088] "<02:07:05.078><15309.575> p-proxy s11 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s11\",\"phenotype\":3}",
[02:07:05.088] "<02:07:05.078><15313.255000000001> producer s11 received PHENOTYPE",
[02:07:07.123] "<02:07:07.123><153711.17295> Phenotype received from s12 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s12\"}",
[02:07:07.123] "<02:07:07.123><17350.945000000003> %%% p-proxy s12 sends to Phenotype p-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s12\"}",
[02:07:07.123] "<02:07:07.123><153712.010911> Phenotype sends to s12 generated phenotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s12\",\"phenotype\":30}",
[02:07:07.133] "<02:07:07.133><17360.155000000002> producer s12 received PHENOTYPE",
[02:07:07.156] "<02:07:07.123><17356.755> p-proxy s12 receives Phenotype p-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s12\",\"phenotype\":30}",
[02:07:49.509] "<02:07:49.506><196087.482523> \nGenotype received from s15 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s15\"}",
[02:07:49.510] "<02:07:49.508><196088.842803> Genotype sends to s15 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s15\",\"genotype\":6}",
[02:07:49.511] "<02:07:49.506><8214.175000000001> \n%%% g-proxy s15 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s15\"}",
[02:07:49.514] "<02:07:49.513><8220.93> producer s15 received GENOTYPE",
[02:07:49.549] "<02:07:49.508><8216.785000000002> g-proxy s15 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s15\",\"genotype\":6}",
[02:07:51.529] "<02:07:51.529><198112.604767> \nGenotype received from s16 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s16\"}",
[02:07:51.529] "<02:07:51.529><198113.453388> Genotype sends to s16 generated genotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s16\",\"genotype\":15}",
[02:07:51.529] "<02:07:51.529><10238.805> \n%%% g-proxy s16 sends to Genotype g-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s16\"}",
[02:07:51.539] "<02:07:51.529><10241.075> g-proxy s16 receives Genotype g-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s16\",\"genotype\":15}",
[02:07:51.539] "<02:07:51.529><10244.2> producer s16 received GENOTYPE",
[02:07:53.573] "<02:07:53.573><200156.431009> Phenotype received from s17 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s17\"}",
[02:07:53.573] "<02:07:53.573><12282.675000000001> %%% p-proxy s17 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s17\"}",
[02:07:53.583] "<02:07:53.573><12287.960000000001> p-proxy s17 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s17\",\"phenotype\":3}",
[02:07:53.573] "<02:07:53.573><200159.012995> Phenotype sends to s17 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s17\",\"phenotype\":3}",
[02:07:53.583] "<02:07:53.583><12292.455> producer s17 received PHENOTYPE",
[02:07:55.604] "<02:07:55.602><202183.304977> Phenotype received from s18 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s18\"}",
[02:07:55.607] "<02:07:55.601><14308.53> %%% p-proxy s18 sends to Phenotype p-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s18\"}",
[02:07:55.605] "<02:07:55.603><202184.292764> Phenotype sends to s18 generated phenotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s18\",\"phenotype\":30}",
[02:07:55.610] "<02:07:55.604><14311.95> p-proxy s18 receives Phenotype p-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s18\",\"phenotype\":30}",
[02:07:55.611] "<02:07:55.608><14315.475> producer s18 received PHENOTYPE",
[02:09:24.569] "<02:09:24.569><291148.171025> \nGenotype received from s19 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:09:24.569] "<02:09:24.569><291149.103145> Genotype sends to s19 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6}",
[02:09:24.579] "<02:09:24.570><9363.1> \n%%% g-proxy s19 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:09:24.579] "<02:09:24.580><9368.395000000002> producer s19 received GENOTYPE",
[02:09:24.589] "<02:09:24.579><291160.766495> Phenotype received from s19 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6}",
[02:09:24.589] "<02:09:24.580><9375.005000000001> %%% p-proxy s19 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6}",
[02:09:24.589] "<02:09:24.579><291161.718158> Phenotype sends to s19 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6,\"phenotype\":3}",
[02:09:24.589] "<02:09:24.570><9366.51> g-proxy s19 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6}",
[02:09:24.589] "<02:09:24.590><9378.5> p-proxy s19 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6,\"phenotype\":3}",
[02:09:24.589] "<02:09:24.590><9379.07> producer s19 received PHENOTYPE",
[02:09:29.579] "<02:09:29.577><14364.970000000001> \n%%% g-proxy s19 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:09:29.580] "<02:09:29.577><296150.235429> \nGenotype received from s19 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:09:29.580] "<02:09:29.578><296151.322705> Genotype sends to s19 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6}",
[02:09:34.569] "<02:09:34.569><301143.561944> \nGenotype received from s19 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:09:34.569] "<02:09:34.569><301144.62494> Genotype sends to s19 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6}",
[02:09:34.569] "<02:09:34.569><19358.24> \n%%% g-proxy s19 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:09:39.577] "<02:09:39.574><306145.963901> \nGenotype received from s19 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s19\"}",
[02:09:39.578] "<02:09:39.575><306146.88477> Genotype sends to s19 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s19\",\"genotype\":70}",
[02:09:39.580] "<02:09:39.570><24357.825> \n%%% g-proxy s19 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s19\"}",
[02:09:44.568] "<02:09:44.568><311142.605543> \nGenotype received from s19 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:09:44.568] "<02:09:44.568><311143.451795> Genotype sends to s19 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\",\"genotype\":6}",
[02:09:44.568] "<02:09:44.568><29357.775000000005> \n%%% g-proxy s19 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s19\"}",
[02:11:24.640] "<02:11:24.640><411207.931551> \nGenotype received from s25 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s25\"}",
[02:11:24.640] "<02:11:24.640><411208.84709> Genotype sends to s25 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s25\",\"genotype\":6}",
[02:11:24.650] "<02:11:24.650><5156.000000000001> producer s25 received GENOTYPE",
[02:11:24.677] "<02:11:24.640><5145.305> \n%%% g-proxy s25 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s25\"}",
[02:11:24.693] "<02:11:24.650><5154.240000000001> g-proxy s25 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s25\",\"genotype\":6}",
[02:11:26.671] "<02:11:26.671><7172.645> \n%%% g-proxy s26 sends to Genotype g-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s26\"}",
[02:11:26.671] "<02:11:26.671><413237.039884> \nGenotype received from s26 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s26\"}",
[02:11:26.671] "<02:11:26.671><413238.112948> Genotype sends to s26 generated genotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s26\",\"genotype\":15}",
[02:11:26.671] "<02:11:26.671><7177.05> g-proxy s26 receives Genotype g-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s26\",\"genotype\":15}",
[02:11:26.671] "<02:11:26.671><7178.005000000001> producer s26 received GENOTYPE",
[02:11:27.555] "<02:11:27.555><414119.799387> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:27.555] "<02:11:27.555><414120.978454> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:11:27.555] "<02:11:27.555><8056.78> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:27.555] "<02:11:27.555><8059.755000000001> g-proxy s20 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:11:27.555] "<02:11:27.555><8060.690000000001> producer s20 received GENOTYPE",
[02:11:27.565] "<02:11:27.565><414128.59768> Phenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:11:27.565] "<02:11:27.565><414129.4463> Phenotype sends to s20 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6,\"phenotype\":3}",
[02:11:27.565] "<02:11:27.565><8065.675> %%% p-proxy s20 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:11:27.565] "<02:11:27.565><8071.68> producer s20 received PHENOTYPE",
[02:11:27.565] "<02:11:27.565><8070.995> p-proxy s20 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6,\"phenotype\":3}",
[02:11:28.689] "<02:11:28.687><415249.77985> Phenotype received from s27 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s27\"}",
[02:11:28.690] "<02:11:28.686><9186.765000000001> %%% p-proxy s27 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s27\"}",
[02:11:28.689] "<02:11:28.688><415250.318159> Phenotype sends to s27 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s27\",\"phenotype\":3}",
[02:11:28.691] "<02:11:28.688><9188.91> p-proxy s27 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s27\",\"phenotype\":3}",
[02:11:28.694] "<02:11:28.692><9192.550000000001> producer s27 received PHENOTYPE",
[02:11:30.716] "<02:11:30.712><417274.118024> Phenotype received from s28 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s28\"}",
[02:11:30.718] "<02:11:30.713><417275.039485> Phenotype sends to s28 generated phenotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s28\",\"phenotype\":30}",
[02:11:30.729] "<02:11:30.716><11217.04> producer s28 received PHENOTYPE",
[02:11:30.730] "<02:11:30.713><11213.885000000002> p-proxy s28 receives Phenotype p-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s28\",\"phenotype\":30}",
[02:11:30.726] "<02:11:30.710><11210.985> %%% p-proxy s28 sends to Phenotype p-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s28\"}",
[02:11:32.554] "<02:11:32.554><419118.525568> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:32.554] "<02:11:32.554><419119.404983> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:11:32.554] "<02:11:32.554><13055.845000000001> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:37.550] "<02:11:37.550><424116.136639> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:37.550] "<02:11:37.550><18051.305000000004> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:37.550] "<02:11:37.550><424116.989997> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:11:42.552] "<02:11:42.550><429111.670278> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:42.553] "<02:11:42.551><429112.684122> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:11:42.555] "<02:11:42.549><23049.165> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:11:47.552] "<02:11:47.552><434115.254264> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:11:47.552] "<02:11:47.552><434116.152036> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:11:47.552] "<02:11:47.552><28052.565000000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:11:52.549] "<02:11:52.549><439110.524966> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:11:52.549] "<02:11:52.549><439111.015899> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:11:52.549] "<02:11:52.548><33047.96000000001> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:11:57.551] "<02:11:57.551><444112.063498> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:11:57.551] "<02:11:57.551><444113.313629> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:11:57.551] "<02:11:57.550><38049.62500000001> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:02.549] "<02:12:02.549><449110.924108> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:02.559] "<02:12:02.549><449113.999395> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:12:02.559] "<02:12:02.548><43048.58> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:07.555] "<02:12:07.553><454110.973261> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:07.556] "<02:12:07.554><454111.825434> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:12:07.557] "<02:12:07.551><48048.405> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:12.555] "<02:12:12.551><53047.855> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:12.555] "<02:12:12.554><459111.238566> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:12.556] "<02:12:12.554><459111.881101> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:12:17.552] "<02:12:17.552><464111.434583> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:17.552] "<02:12:17.552><464112.388615> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:12:17.552] "<02:12:17.551><58048.925> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:22.557] "<02:12:22.557><469116.905313> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:22.557] "<02:12:22.557><469118.086157> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:12:22.557] "<02:12:22.556><63053.770000000004> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:27.558] "<02:12:27.558><474116.805824> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:27.558] "<02:12:27.558><474117.692937> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:12:27.558] "<02:12:27.557><68054.82> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:32.557] "<02:12:32.557><479115.372703> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:32.557] "<02:12:32.557><479116.315483> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
